motif,real,mean_rand,std_rand,z_score,p_value,p_value_corrected,significant
0->1:+;0->2:+,3874,2956.85,218.46896232645952,4.198079169843345,0.0,0.0,True
0->1:-;0->2:-,4033,1587.58,155.94673321362012,15.68112360936857,0.0,0.0,True
0->1:+-;0->2:+-,238,30.67,18.92038847381311,10.958020248207719,0.0,0.0,True
0->1:+;0->2:-,643,2117.04,162.49824122125136,-9.071113563580074,1.0,1.0,False
0->1:-;0->2:+,692,2154.68,171.6910527662988,-8.519255816964208,1.0,1.0,False
0->1:-;0->2:+-,141,221.16,61.963331091864326,-1.293668345253389,0.91,1.0,False
0->1:+-;0->2:+?,1,3.06,8.917196868971772,-0.23101430082450736,0.55,1.0,False
0->1:+-;0->2:+,132,295.69,67.0068198021664,-2.4428856716866263,1.0,1.0,False
0->1:+-;0->2:-,139,219.23,53.653863793766064,-1.4953256732522915,0.94,1.0,False
0->1:+;0->2:?,3,6.62,11.164927227707308,-0.3242296099356985,0.49,1.0,False
0->1:+;0->2:+-,101,293.47,62.14120291722715,-3.0973008400943325,1.0,1.0,False
0->1:+;0->2:+?,2,19.2,18.484047175875745,-0.9305321413834301,0.98,1.0,False
0->1:-?;0->2:+,1,5.4,7.81664889834512,-0.5629010663292724,0.75,1.0,False
